time,height
6.50E-01,9.67E+00
7.80E-01,1.04E+01
9.10E-01,1.53E+01
1.04E+00,1.90E+01
1.17E+00,2.24E+01
1.30E+00,2.82E+01
1.43E+00,3.10E+01
1.56E+00,3.82E+01
1.69E+00,4.47E+01
1.82E+00,4.96E+01
1.95E+00,5.78E+01
2.08E+00,6.20E+01
2.21E+00,7.13E+01
2.34E+00,7.96E+01
2.47E+00,8.26E+01
2.60E+00,9.24E+01
2.73E+00,9.64E+01
2.86E+00,1.04E+02
2.99E+00,1.12E+02
3.12E+00,1.16E+02
3.25E+00,1.23E+02
3.38E+00,1.26E+02
3.51E+00,1.34E+02
3.64E+00,1.41E+02
3.77E+00,1.44E+02
3.89E+00,1.50E+02
4.02E+00,1.52E+02
4.15E+00,1.58E+02
4.28E+00,1.61E+02
4.41E+00,1.66E+02
4.54E+00,1.72E+02
4.68E+00,1.74E+02
4.80E+00,1.77E+02
4.93E+00,1.80E+02
5.06E+00,1.85E+02
5.19E+00,1.88E+02
5.32E+00,1.90E+02
5.45E+00,1.94E+02
5.58E+00,1.94E+02
5.71E+00,1.98E+02
5.84E+00,2.01E+02
5.97E+00,2.02E+02
6.10E+00,2.04E+02
6.23E+00,2.05E+02
6.36E+00,2.07E+02
6.49E+00,2.09E+02
6.62E+00,2.09E+02
6.75E+00,2.10E+02
6.88E+00,2.10E+02
7.01E+00,2.12E+02
7.15E+00,2.13E+02
7.27E+00,2.12E+02
7.41E+00,2.12E+02
7.54E+00,2.12E+02
7.67E+00,2.12E+02
7.80E+00,2.11E+02
7.94E+00,2.11E+02
8.07E+00,2.11E+02
8.20E+00,2.10E+02
8.33E+00,2.10E+02
8.46E+00,2.09E+02
8.59E+00,2.09E+02
8.72E+00,2.07E+02
8.85E+00,2.04E+02
8.98E+00,2.02E+02
9.11E+00,2.00E+02
9.24E+00,1.99E+02
9.37E+00,1.98E+02
9.50E+00,1.98E+02
9.63E+00,1.94E+02
9.76E+00,1.94E+02
9.89E+00,1.93E+02
1.00E+01,1.85E+02
1.02E+01,1.76E+02
1.03E+01,1.73E+02
1.04E+01,1.70E+02
1.05E+01,1.65E+02
1.07E+01,1.65E+02
1.08E+01,1.60E+02
1.09E+01,1.58E+02
1.11E+01,1.52E+02
1.12E+01,1.45E+02
1.13E+01,1.42E+02
1.15E+01,1.37E+02
1.16E+01,1.35E+02
1.17E+01,1.29E+02
1.18E+01,1.21E+02
1.20E+01,1.19E+02
1.21E+01,1.12E+02
1.22E+01,1.09E+02
1.24E+01,1.02E+02
1.25E+01,9.37E+01
1.26E+01,8.95E+01
1.28E+01,8.17E+01
1.29E+01,7.81E+01
1.30E+01,6.98E+01
1.32E+01,6.12E+01
1.33E+01,5.75E+01
1.34E+01,4.85E+01
1.35E+01,4.43E+01
1.37E+01,3.47E+01
1.38E+01,2.57E+01
1.39E+01,2.18E+01
1.41E+01,1.20E+01
1.42E+01,7.62E+00
