---------------------------------------
t	y
0.65	9.67
0.78	10.4
0.91	15.3
1.04	19
1.17	22.4
1.3	28.2
1.43	31
1.56	38.2
1.69	44.7
1.82	49.6
1.95	57.8
2.08	62
2.21	71.3
2.34	79.6
2.47	82.6
2.6	92.4
2.73	96.4
2.86	104
2.99	112
3.12	116
3.25	123
3.38	126
3.51	134
3.64	141
3.77	144
3.89	150
4.02	152
4.15	158
4.28	161
4.41	166
4.54	172
4.68	174
4.8	177
4.93	180
5.06	185
5.19	188
5.32	190
5.45	194
5.58	194
5.71	198
5.84	201
5.97	202
6.1	204
6.23	205
6.36	207
6.49	209
6.62	209
6.75	210
6.88	210
7.01	212
7.15	213
7.27	212
7.41	212
7.54	212
7.67	212
7.8	211
7.94	211
8.07	211
8.2	210
8.33	210
8.46	209
8.59	209
8.72	207
8.85	204
8.98	202
9.11	200
9.24	199
9.37	198
9.5	198
9.63	194
9.76	194
9.89	193
10	185
10.2	176
10.3	173
10.4	170
10.5	165
10.7	165
10.8	160
10.9	158
11.1	152
11.2	145
11.3	142
11.5	137
11.6	135
11.7	129
11.8	121
12	119
12.1	112
12.2	109
12.4	102
12.5	93.7
12.6	89.5
12.8	81.7
12.9	78.1
13	69.8
13.2	61.2
13.3	57.5
13.4	48.5
13.5	44.3
13.7	34.7
13.8	25.7
13.9	21.8
14.1	12
14.2	7.62
---------------------------------------
a	-4.70656
b	71.0051
c	-56.0162
top	7.54321
